 2. Matrimonios por grupos quinquenales de edad de los contrayentes
,

Consulta de: Matrimonios   Por: Edad del primer contrayente   Según: Edad del segundo contrayente y Año de registro
 , Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Total, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, Menores de 15 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 15 a 19 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 20 a 24 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 25 a 29 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 30 a 34 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 35 a 39 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 40 a 44 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 45 a 49 años, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, De 50 años y más, No especificado, No especificado, No especificado, No especificado, No especificado, No especificado, No especificado, No especificado, No especificado, No especificado, No especificado, No especificado, No especificado, No especificado, No especificado, No especificado, No especificado, No especificado
 , 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2020, 2022, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022
 Total,"659,567","671,640","658,114","670,523","707,840","704,456","743,856","707,422","665,434","616,654","584,142","600,563","595,713","586,978","595,209","589,352","558,913","568,632","570,954","585,434","583,264","577,713","558,022","543,749","528,678","501,298","504,923","335,563","453,085","507,052","9,930","9,783","9,136","8,616","9,493","9,100","9,005","8,345","7,245","6,498","5,767","5,686","4,366","4,014","3,902","3,791","3,299","2,835","2,443","2,111","1,470", 791, 606, 212, 33, 4, 1, 1,"227,218","222,621","213,773","208,955","218,142","216,809","221,571","208,090","188,887","172,569","159,789","158,523","151,639","148,442","146,420","141,740","127,949","123,213","121,326","117,583","110,650","96,388","80,523","68,132","58,114","51,412","47,356","28,167","33,210","33,561","244,364","250,526","245,537","248,591","256,777","255,541","262,171","243,353","226,389","210,334","198,599","201,349","198,189","194,555","194,216","188,511","176,055","174,410","176,080","179,396","176,965","173,463","166,709","160,887","150,151","134,883","129,833","85,897","110,248","118,264","104,705","110,378","110,763","118,021","127,326","130,411","142,456","140,046","134,343","126,194","120,060","123,279","122,770","122,443","124,986","126,366","122,924","125,572","129,814","134,503","134,418","136,320","137,164","135,801","135,036","129,675","131,134","87,255","120,865","128,702","36,185","38,742","38,797","41,751","45,619","45,423","51,580","51,131","51,129","49,124","48,765","53,071","55,394","55,144","57,224","57,435","56,140","58,488","61,000","65,003","67,154","71,071","72,079","73,128","74,135","72,440","74,662","49,915","72,203","84,037","15,781","16,657","17,072","18,775","20,869","19,848","23,587","23,276","23,267","21,304","20,718","23,221","24,753","25,056","26,902","27,755","27,898","30,012","31,209","33,240","35,108","36,469","37,114","38,367","39,835","39,654","42,231","27,988","39,892","47,609","7,955","8,659","8,502","9,499","11,181","10,383","12,724","12,392","12,735","11,403","11,282","13,046","13,647","13,519","14,608","15,193","15,331","16,745","17,242","18,847","20,317","22,158","22,860","23,942","25,206","25,561","26,770","18,199","24,948","30,783","4,800","5,074","5,122","5,894","6,580","6,094","7,475","7,740","7,939","7,101","7,144","8,206","8,843","8,545","9,726","10,122","10,508","11,019","11,434","12,166","13,213","14,534","14,955","15,808","17,281","18,062","19,991","13,924","19,087","23,043","8,629","9,200","9,412","10,421","11,853","10,847","13,287","13,049","13,500","12,127","12,018","14,182","15,248","14,500","16,412","17,630","17,770","19,023","19,523","20,810","22,522","25,200","24,997","26,491","28,161","28,876","32,261","23,205","31,423","39,963", 864, 760, 813, 809,"1,039","7,315", 883,"1,775","1,447","1,319","1,015", 981, 726, 731, 685,"1,012","1,209","1,089"
 Menores de 15 años, 711, 657, 584, 495, 617, 571, 432, 684, 466, 791, 651, 684, 119, 77, 133, 134, 108, 100, 81, 71, 50, 31, 10, 7, , , , , 1, , 290, 289, 274, 195, 315, 274, 160, 365, 243, 591, 504, 513, 26, 24, 23, 39, 27, 20, 18, 20, 14, 7, 4, 6, , , , , 238, 185, 176, 119, 135, 185, 143, 168, 125, 102, 72, 96, 72, 34, 76, 63, 54, 54, 40, 36, 23, 12, 5, 1, , , , , 1, , 98, 103, 68, 107, 74, 61, 60, 58, 45, 48, 31, 36, 11, 11, 15, 13, 15, 13, 14, 5, 7, 5, 1, , , , , , , , 56, 48, 26, 40, 49, 27, 36, 47, 25, 26, 18, 18, 7, 4, 5, 10, 8, 9, 1, 7, 3, 4, , , , , , , , , 8, 10, 14, 16, 23, 8, 15, 22, 11, 12, 9, 5, 2, 2, 8, 6, 4, , 2, 1, 3, 1, , , , , , , , , 5, 3, 6, 3, 11, 3, 5, 5, 6, 5, 5, 5, 1, 1, , 1, , , 2, 2, , , , , , , , , , , 2, 5, 6, 6, 4, 4, 6, 4, 4, 4, 4, 3, , , 2, 1, , 1, 1, , , 1, , , , , , , , , 4, 5, 5, 2, 1, 3, 3, 7, 1, 1, 2, 3, , , 1, 1, , 1, 2, , , , , , , , , , , , 10, 9, 9, 7, 5, 6, 4, 8, 6, 2, 6, 5, , 1, 1, , , 1, 1, , , 1, , , , , , , , , , , 2, , , 1, , , , , , , , , , , , 
 De 15 a 19 años,"108,333","105,060","97,511","93,475","98,356","97,762","100,317","95,878","86,922","79,473","72,248","71,804","68,082","66,559","65,788","63,472","56,217","53,590","52,646","50,669","46,696","39,504","31,682","25,460","21,110","18,078","18,158","9,719","11,572","12,132","4,942","4,844","4,535","4,190","4,599","4,464","4,506","4,049","3,528","2,950","2,685","2,694","2,306","2,097","2,080","1,979","1,733","1,496","1,343","1,101", 773, 399, 274, 99, 15, 2, 1, 1,"80,058","77,015","71,060","68,292","71,618","71,152","73,012","69,896","63,084","57,695","52,594","52,121","49,708","49,221","48,747","47,330","41,603","39,624","38,796","37,223","34,515","28,422","22,083","16,660","13,231","11,413","10,408","5,779","6,898","6,942","20,901","20,822","19,659","18,887","19,801","19,738","20,301","19,304","17,845","16,569","14,988","15,099","14,175","13,485","13,272","12,482","11,395","10,927","11,107","10,887","10,058","9,347","8,132","7,558","6,784","5,659","5,950","3,372","4,076","4,474","2,076","2,012","1,933","1,780","1,996","2,072","2,161","2,234","2,084","1,907","1,679","1,591","1,557","1,438","1,371","1,418","1,195","1,161","1,091","1,111","1,066","1,018", 934, 887, 852, 760,"1,079", 416, 432, 498, 269, 291, 249, 251, 262, 252, 261, 318, 304, 279, 237, 237, 229, 228, 235, 196, 193, 188, 222, 197, 160, 198, 173, 179, 161, 171, 359, 90, 107, 136, 60, 49, 55, 57, 62, 48, 52, 55, 54, 50, 46, 45, 47, 44, 50, 28, 47, 56, 39, 46, 61, 54, 47, 45, 44, 45, 160, 32, 37, 43, 11, 15, 12, 6, 9, 14, 13, 16, 8, 13, 10, 12, 15, 11, 10, 11, 14, 19, 19, 19, 18, 21, 11, 13, 10, 12, 76, 11, 12, 17, 8, 4, 4, 5, 5, 8, 6, 1, 6, 4, 7, 3, 3, 7, 2, 4, 3, 12, 6, 6, 6, 11, 6, 7, 5, 6, 49, 4, 3, 6, 8, 8, 4, 7, 4, 14, 5, 5, 9, 6, 2, 2, 1, 1, 6, 5, 6, 6, 8, 17, 4, 12, 4, 4, 1, 4, 72, 8, 4, 2, 41, 27, 15, 19, 28, 101, 15, 62, 35, 22, 18, 8, 7, 6, 5, 6, 3, 13
 De 20 a 24 años,"270,973","275,666","269,021","268,310","277,415","275,221","279,710","257,844","236,321","217,228","204,677","205,552","199,676","194,375","192,665","185,919","170,390","167,003","168,158","168,604","164,678","157,190","146,611","138,026","126,106","112,554","106,175","67,949","85,900","91,068","3,438","3,394","3,185","3,076","3,292","3,161","3,122","2,830","2,410","2,115","1,813","1,739","1,500","1,405","1,290","1,279","1,117", 930, 777, 696, 516, 276, 245, 80, 14, 2, , ,"111,868","110,915","108,344","105,945","110,033","109,213","110,427","102,174","92,173","84,150","78,610","78,024","74,734","72,672","71,521","68,653","62,293","59,949","59,726","58,335","55,856","49,707","42,820","37,524","32,384","28,736","26,149","15,699","18,630","18,753","128,674","132,709","129,163","130,119","133,344","131,650","133,096","121,370","111,995","103,770","98,759","99,750","97,892","95,820","95,250","91,779","84,602","83,710","85,580","86,741","86,528","84,683","80,772","78,028","71,846","63,832","60,779","40,148","52,244","55,958","23,129","24,526","24,285","25,053","26,345","26,676","28,243","26,974","25,234","23,075","21,568","21,841","21,226","20,334","20,421","20,229","18,575","18,217","18,160","18,531","17,810","18,204","18,302","17,920","17,392","15,926","15,326","9,442","11,889","12,619","3,139","3,389","3,296","3,343","3,584","3,689","3,892","3,633","3,667","3,353","3,165","3,415","3,443","3,256","3,328","3,145","2,910","2,957","3,012","3,071","2,937","3,141","3,308","3,269","3,261","2,897","2,806","1,911","2,269","2,620", 569, 554, 593, 623, 615, 649, 710, 674, 643, 581, 594, 603, 587, 621, 622, 583, 595, 655, 640, 701, 672, 749, 799, 808, 835, 802, 750, 469, 587, 712, 105, 125, 97, 111, 148, 130, 153, 121, 130, 137, 106, 118, 137, 121, 119, 125, 130, 152, 132, 160, 156, 192, 204, 240, 215, 223, 215, 160, 155, 218, 26, 34, 32, 23, 26, 29, 31, 39, 42, 25, 45, 33, 31, 33, 33, 42, 35, 46, 45, 56, 57, 69, 77, 62, 87, 75, 82, 62, 46, 62, 25, 20, 26, 17, 28, 24, 36, 29, 27, 22, 17, 29, 17, 18, 20, 25, 19, 26, 36, 52, 35, 68, 30, 38, 37, 34, 38, 38, 39, 54, 109, 95, 61, 59, 114, 361, 50, 261, 111, 101, 54, 57, 35, 27, 30, 20, 41, 72
 De 25 a 29 años,"158,066","162,161","161,279","168,326","178,417","182,025","194,658","186,990","176,987","165,299","156,597","157,519","156,104","155,156","155,933","155,727","149,795","149,793","152,860","156,455","152,899","150,530","148,692","145,372","142,133","134,495","133,966","89,867","121,267","127,686", 877, 837, 741, 776, 823, 824, 816, 750, 711, 523, 495, 468, 364, 332, 349, 334, 306, 263, 203, 199, 118, 57, 55, 17, 2, , , ,"27,164","26,614","26,158","26,269","27,652","27,655","29,098","27,606","25,572","23,272","21,659","21,315","20,400","19,776","19,499","19,282","17,741","17,327","16,800","16,211","14,782","13,068","11,383","10,197","9,161","8,317","7,787","4,802","5,406","5,397","71,241","72,683","72,110","74,086","77,086","77,769","81,260","76,414","71,533","66,480","62,675","62,978","62,536","61,749","62,055","61,142","57,874","56,923","57,117","58,322","56,621","55,593","54,654","53,135","50,424","46,358","44,647","30,165","38,656","40,637","48,029","50,579","50,826","54,989","59,567","62,136","68,077","66,946","64,142","60,586","57,619","57,929","57,640","58,286","58,877","59,673","59,047","59,783","62,821","64,923","65,026","64,725","65,395","64,673","64,739","62,350","63,554","43,104","60,907","63,517","8,623","9,260","9,159","9,865","10,628","11,028","12,287","12,348","12,108","11,821","11,589","12,091","12,302","12,180","12,114","12,262","11,719","12,007","12,589","13,135","12,840","13,380","13,476","13,504","13,749","13,227","13,639","8,829","12,486","13,807","1,685","1,736","1,815","1,848","2,108","2,049","2,481","2,314","2,288","2,036","2,067","2,162","2,185","2,175","2,324","2,362","2,360","2,452","2,517","2,621","2,573","2,696","2,731","2,809","2,958","3,070","3,132","2,091","2,746","2,982", 334, 336, 346, 384, 403, 436, 491, 451, 473, 441, 354, 437, 434, 429, 479, 450, 451, 503, 541, 538, 604, 669, 662, 704, 778, 802, 817, 558, 684, 865, 80, 87, 99, 74, 112, 91, 96, 127, 119, 103, 94, 101, 120, 108, 122, 120, 130, 128, 138, 141, 151, 152, 179, 191, 198, 244, 250, 182, 223, 265, 33, 29, 25, 35, 38, 37, 52, 34, 41, 37, 45, 38, 35, 30, 38, 51, 49, 52, 60, 83, 68, 94, 82, 73, 81, 100, 117, 100, 109, 112, 88, 91, 76, 51, 118, 355, 74, 282, 116, 96, 75, 69, 43, 27, 23, 36, 50, 104
 De 30 a 34 años,"60,892","63,920","64,422","67,859","72,786","72,583","79,061","77,951","76,429","73,322","71,657","77,228","78,893","79,094","81,680","81,228","78,998","81,634","83,944","88,397","90,160","92,273","92,279","91,485","90,757","86,853","88,061","58,765","83,837","95,180", 235, 235, 227, 211, 242, 213, 237, 210, 212, 185, 158, 150, 105, 102, 104, 107, 66, 87, 66, 60, 34, 36, 16, 8, 1, , , ,"5,732","5,735","5,779","5,918","6,150","6,063","6,200","5,832","5,688","5,197","4,900","5,019","4,782","4,828","4,731","4,509","4,424","4,176","4,196","3,950","3,754","3,322","2,888","2,494","2,192","1,936","2,025","1,240","1,446","1,585","17,190","17,715","17,845","18,312","18,815","18,795","19,445","18,711","17,757","16,986","16,068","17,140","17,088","17,020","17,071","16,529","15,800","15,614","15,686","16,269","16,150","16,187","15,810","15,031","14,363","12,704","12,292","8,026","10,149","11,439","21,639","22,838","23,015","24,648","26,850","26,968","30,021","29,898","29,155","27,948","27,216","29,210","29,613","29,591","30,836","30,980","30,285","31,875","32,784","34,154","34,626","35,528","35,652","35,134","34,983","33,675","33,948","22,706","32,318","35,118","12,167","13,112","13,232","14,168","15,468","15,546","17,509","17,608","17,887","17,380","17,869","19,762","20,806","20,978","21,948","21,919","21,326","22,281","23,394","25,519","27,073","28,422","28,684","29,154","29,333","28,721","29,585","19,939","30,218","35,457","3,049","3,314","3,278","3,544","3,996","3,790","4,284","4,337","4,367","4,283","4,174","4,588","4,966","5,064","5,385","5,494","5,387","5,663","5,935","6,337","6,418","6,538","6,828","7,200","7,267","7,105","7,494","4,926","7,109","8,394", 667, 752, 804, 793, 982, 919,"1,020","1,013","1,009","1,024", 956,"1,025","1,093","1,114","1,156","1,238","1,195","1,261","1,373","1,432","1,483","1,550","1,737","1,750","1,852","1,910","1,864","1,306","1,817","2,179", 161, 169, 183, 207, 211, 218, 252, 260, 254, 236, 235, 267, 294, 269, 306, 314, 328, 326, 349, 351, 386, 428, 437, 492, 554, 576, 600, 407, 518, 673, 52, 50, 59, 58, 72, 71, 93, 82, 100, 83, 81, 67, 84, 85, 98, 100, 109, 129, 116, 159, 148, 190, 164, 167, 187, 197, 226, 187, 217, 280, 62, 43, 45, 38, 78, 222, 45, 166, 88, 72, 63, 55, 25, 29, 27, 28, 45, 55
 De 35 a 39 años,"24,488","26,201","26,833","29,150","31,839","31,232","35,831","34,904","33,917","31,711","30,433","33,181","34,734","35,032","37,568","39,001","38,932","41,640","42,532","45,440","47,003","48,320","48,887","49,201","49,809","49,232","51,225","33,762","47,120","55,595", 75, 99, 84, 84, 103, 74, 82, 71, 61, 64, 58, 61, 36, 32, 32, 36, 37, 23, 24, 15, 5, 10, 10, , , , , ,"1,421","1,429","1,488","1,521","1,659","1,658","1,788","1,577","1,447","1,403","1,277","1,268","1,233","1,237","1,199","1,249","1,189","1,170","1,142","1,144","1,077","1,046", 828, 784, 662, 592, 590, 383, 484, 487,"4,119","4,417","4,474","4,646","5,026","4,998","5,279","5,000","4,702","4,299","4,028","4,105","4,254","4,299","4,387","4,328","4,207","4,440","4,334","4,738","4,711","4,536","4,615","4,406","4,133","3,889","3,749","2,557","3,104","3,423","6,231","6,659","6,856","7,524","7,973","8,050","8,993","9,017","8,683","8,160","7,630","8,124","8,223","8,188","8,895","9,331","9,229","9,537","9,952","10,396","10,352","10,651","10,823","10,882","10,860","10,729","10,739","7,078","9,404","10,446","6,884","7,350","7,518","8,256","9,097","8,701","10,340","10,049","9,870","9,432","9,267","10,258","10,865","10,913","11,848","12,028","12,137","13,076","13,328","14,122","14,689","15,511","15,943","16,032","16,308","16,062","16,840","11,175","15,990","19,215","4,217","4,546","4,694","5,244","5,774","5,609","6,820","6,682","6,581","5,980","5,798","6,698","7,329","7,456","8,056","8,624","8,675","9,536","9,927","10,613","11,662","11,797","11,710","12,044","12,478","12,541","13,343","8,853","12,795","15,560","1,105","1,278","1,256","1,385","1,617","1,559","1,798","1,848","1,901","1,695","1,742","1,959","2,022","2,133","2,251","2,479","2,444","2,690","2,747","3,182","3,265","3,405","3,551","3,601","3,812","3,857","4,143","2,576","3,693","4,572", 341, 317, 357, 375, 441, 434, 561, 488, 504, 514, 491, 568, 559, 563, 664, 684, 720, 773, 774, 835, 866, 944, 978,"1,031","1,114","1,121","1,306", 793,"1,181","1,332", 95, 106, 106, 115, 149, 149, 170, 172, 168, 164, 142, 140, 181, 181, 214, 227, 244, 277, 270, 291, 328, 359, 395, 382, 422, 422, 503, 329, 445, 516, 32, 30, 22, 15, 50, 118, 34, 104, 48, 61, 34, 39, 20, 19, 12, 18, 24, 44
 De 40 a 44 años,"12,059","12,834","13,069","14,470","16,517","15,557","18,654","18,056","18,618","16,727","16,217","18,126","18,829","18,670","19,538","20,145","20,241","21,638","22,523","24,328","26,448","28,482","29,070","29,962","30,847","30,415","31,582","20,956","28,909","34,986", 21, 37, 36, 35, 44, 33, 34, 19, 38, 23, 22, 26, 11, 11, 12, 9, 7, 10, 9, 10, 4, , 1, 1, , , , , 406, 399, 443, 518, 504, 537, 538, 471, 473, 464, 412, 391, 387, 386, 388, 355, 374, 358, 367, 361, 360, 314, 273, 246, 260, 209, 202, 141, 171, 204,"1,227","1,209","1,347","1,432","1,559","1,512","1,642","1,498","1,543","1,306","1,252","1,368","1,340","1,272","1,289","1,355","1,298","1,274","1,337","1,374","1,439","1,518","1,554","1,607","1,508","1,394","1,400", 872,"1,102","1,281","2,074","2,202","2,268","2,258","2,668","2,665","2,904","2,856","2,951","2,692","2,556","2,652","2,679","2,725","2,715","2,715","2,683","2,972","3,014","3,212","3,362","3,529","3,667","3,731","3,615","3,555","3,700","2,428","3,335","3,615","2,722","2,923","2,942","3,212","3,608","3,494","4,151","3,936","4,163","3,838","3,729","4,180","4,333","4,271","4,250","4,522","4,422","4,548","4,869","5,134","5,492","5,909","6,109","6,354","6,497","6,410","6,320","4,281","5,937","7,003","3,006","3,188","3,283","3,769","4,315","3,867","4,803","4,761","4,796","4,322","4,055","4,737","4,941","4,961","5,331","5,453","5,597","6,062","6,289","6,789","7,370","7,753","8,020","8,110","8,612","8,320","8,958","5,760","8,286","10,140","1,864","2,071","1,932","2,312","2,787","2,450","3,288","3,141","3,304","2,846","2,937","3,372","3,546","3,476","3,831","3,905","4,047","4,400","4,581","5,238","5,898","6,700","6,614","6,783","7,075","7,192","7,328","4,929","6,778","8,562", 538, 601, 600, 695, 737, 736, 924,"1,028", 991, 924, 919,"1,036","1,141","1,114","1,257","1,348","1,315","1,444","1,503","1,592","1,746","1,934","2,020","2,236","2,387","2,382","2,641","1,857","2,382","2,953", 201, 204, 218, 239, 295, 263, 370, 346, 359, 312, 335, 364, 427, 436, 453, 467, 476, 529, 538, 569, 747, 782, 795, 867, 871, 934,"1,021", 675, 899,"1,193", 24, 18, 12, 16, 22, 41, 16, 49, 30, 43, 17, 27, 22, 19, 12, 13, 19, 35
